angry,disgust,fear,happy,sad,surprise,neutral,dominant_emotion
0.093,0.0,0.347,0.04,2.845,0.0,96.675,neutral
0.833,0.0,1.968,0.011,4.566,0.0,92.621,neutral
0.292,0.0,1.694,0.037,7.009,0.0,90.968,neutral
1.318,0.0,8.283,0.042,9.064,0.001,81.293,neutral
0.86,0.0,6.542,0.067,6.877,0.002,85.652,neutral
0.564,0.0,6.944,0.041,12.183,0.001,80.266,neutral
0.656,0.0,1.048,0.022,3.909,0.0,94.364,neutral
1.007,0.0,3.198,0.007,7.267,0.0,88.521,neutral
0.263,0.0,0.698,0.016,2.545,0.0,96.479,neutral
0.351,0.0,1.62,0.036,8.079,0.0,89.915,neutral
0.223,0.0,1.458,0.044,8.26,0.0,90.015,neutral
0.532,0.0,6.538,0.025,5.207,0.009,87.689,neutral
1.44,0.002,10.404,0.197,22.722,0.001,65.235,neutral
0.563,0.0,2.27,0.134,4.411,0.001,92.621,neutral
1.285,0.001,9.33,0.143,19.629,0.001,69.611,neutral
0.937,0.0,2.537,0.119,6.892,0.001,89.514,neutral
1.068,0.0,2.545,0.061,5.786,0.001,90.539,neutral
1.002,0.0,2.304,0.042,7.414,0.0,89.238,neutral
0.876,0.0,3.515,0.006,8.711,0.003,86.888,neutral
1.284,0.0,2.624,0.038,5.499,0.001,90.553,neutral
